Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1982,24,BOS,AL,104,381,338,51,118,14,1,5,44,1,0,35,21,.349,.406,.441,.847,128,149,9,0,4,4,4,35/D7,RoY-3
1983,25,BOS,AL,153,685,582,100,210,44,7,5,74,3,3,92,36,.361,.444,.486,.931,150,283,15,1,3,7,2,*5,MVP-12SS
1984,26,BOS,AL,158,726,625,109,203,31,4,6,55,3,2,89,44,.325,.407,.416,.823,125,260,13,0,8,4,6,*5/D,
1985,27,BOS,AL,161,758,653,107,240,42,3,8,78,2,1,96,61,.368,.450,.478,.928,151,312,20,4,3,2,5,*5,ASMVP-4
1986,28,BOS,AL,149,693,580,107,207,47,2,8,71,0,4,105,44,.357,.453,.486,.939,157,282,11,0,4,4,14,*5,ASMVP-7SS
1987,29,BOS,AL,147,667,551,108,200,40,6,24,89,1,3,105,48,.363,.461,.588,1.049,174,324,13,2,1,8,19,*5/3D,ASMVP-9SS
1988,30,BOS,AL,155,719,584,128,214,45,6,5,58,2,3,125,34,.366,.476,.490,.965,168,286,23,3,0,7,18,*5/D,ASMVP-6SS
1989,31,BOS,AL,156,742,621,113,205,51,7,3,54,2,6,107,51,.330,.430,.449,.879,142,279,19,7,0,7,19,*5/D,ASMVP-21SS
1990,32,BOS,AL,155,713,619,89,187,44,5,6,63,0,0,87,68,.302,.386,.418,.804,122,259,14,1,0,6,19,*5/D,ASMVP-22
1991,33,BOS,AL,144,641,546,93,181,42,2,8,51,1,2,89,32,.332,.421,.460,.881,140,251,16,0,0,6,25,*5,ASSS
1992,34,BOS,AL,143,598,514,62,133,22,4,7,50,1,3,74,31,.259,.353,.358,.711,96,184,10,4,0,6,19,*5D,AS
1993,35,NYY,AL,143,644,560,83,169,26,1,2,59,0,1,74,49,.302,.378,.363,.740,104,203,10,0,1,9,4,*5/D,ASSS
1994,36,NYY,AL,97,434,366,61,125,19,1,11,55,2,1,61,29,.342,.433,.489,.922,142,179,10,1,2,4,3,*5/3,ASMVP-13GGSS
1995,37,NYY,AL,126,541,460,76,149,22,4,5,63,1,1,74,50,.324,.412,.422,.834,119,194,13,0,0,7,5,*5/3,ASMVP-17GG
1996,38,NYY,AL,132,574,501,80,156,29,2,2,41,1,2,67,32,.311,.389,.389,.778,98,195,10,0,1,5,7,*5/D,AS
1997,39,NYY,AL,104,407,353,55,103,23,1,4,28,0,1,48,38,.292,.373,.397,.769,102,140,3,0,2,4,3,5D/1,
1998,40,TBD,AL,123,483,435,51,122,23,4,7,52,3,2,46,54,.280,.348,.400,.748,94,174,13,0,0,2,6,5D,
1999,41,TBD,AL,90,334,292,40,88,14,1,2,29,1,0,38,23,.301,.377,.377,.754,94,110,14,0,0,4,2,5/D31,
